time	V_out	I_out
0.012100	-513283088576088368870326272.000000	4377336112444629917368320.000000
0.012200	-1639096065575424244567769088.000000	6043831414855675571863552.000000
0.012300	-3581184304326784116148142080.000000	6406442579191673529565184.000000
0.012400	-6408019968461213076658585600.000000	2949668557172340563116032.000000
0.012500	-9692542571397627251676676096.000000	-8556830195555806266523648.000000
0.012600	-11948429018739184289863172096.000000	-34097646091523257115082752.000000
0.012700	-9823264840813175024774021120.000000	-80301235354431920879435776.000000
0.012800	2813132174354652678129188864.000000	-150954642535979355188756480.000000
0.012900	35434154441998154583131553792.000000	-239440602091061211241119744.000000
0.013000	100081844228468498238344790016.000000	-315269823310478447747268608.000000
0.013100	207463825846680189351881605120.000000	-303809620736884792396611584.000000
0.013200	357200757602981315054424555520.000000	-61474329850187506262212608.000000
0.013300	518841558656345961833875636224.000000	644272458999656665980076032.000000
0.013400	600802112471561689584514367488.000000	2127862659741830495701303296.000000
0.013500	407831605221830775691158749184.000000	4709447889729562856505999360.000000
0.013600	-403373536296066274023429898240.000000	8502501998356025729655767040.000000
0.013700	-2342800426076935626792345010176.000000	12976204213378416750696071168.000000
0.013800	-6022343148062831511151472279552.000000	16205497625746313474778071040.000000
0.013900	-11907798131786167691537241079808.000000	13787385416706856090203062272.000000
0.014000	-19741752648511006931124309983232.000000	-2403411472405860015723773952.000000
0.014100	-27466772195306037643278490271744.000000	-45034194993724128380137242624.000000
0.014200	-29529136652991036410283872485376.000000	-130403008938356007070850875392.000000
0.014300	-14665650062913120997935291564032.000000	-273423924218559949641678323712.000000
0.014400	36186979956406437128684200525824.000000	-474867314486228989442690908160.000000
0.014500	150195578789540192040735467372544.000000	-696269844464275553821889921024.000000
0.014600	357833287548572636976514131296256.000000	-818531041442906038942136532992.000000
0.014700	677457790994416947976116344193024.000000	-584626926618529375874896101376.000000
0.014800	1081529146954285123997516355862528.000000	461351642149924917675632361472.000000
0.014900	1436051366070670045946218534666240.000000	3002882141315055914599346864128.000000
0.015000	1408805655826147242713352572502016.000000	7871457158950868662959241953280.000000
0.015100	355921104305610864154214980911104.000000	15726129666266308834524326264832.000000
0.015200	-2772055449372535049685467830157312.000000	26296463008319456506192041345024.000000
0.015300	-9405508346677650580830873020530688.000000	36956636868993005813657038225408.000000
0.015400	-21023769505500226654710083539173376.000000	40459725856535202567587803168768.000000
0.015500	-38212783019570149328416943500165120.000000	21947534713744240569386795008000.000000
0.015600	-58707179009754431927752088226889728.000000	-43945220714270079711582347067392.000000
0.015700	-74013249281679219231859109473026048.000000	-193717606597677307077942539452416.000000
0.015800	-64494268441196091519850198532620288.000000	-468985380058057670306108341747712.000000
0.015900	6338407220400860062057252819828736.000000	-896464301846835738513873490149376.000000
0.016000	195742806446992212394242153170075648.000000	-1443549475458606814113367890853888.000000
0.016100	578041783187115466524891594690134016.000000	-1937970384189002100155461299863552.000000
0.016200	1222636356221122482565852565879128064.000000	-1944948159333972430216384575700992.000000
0.016300	2137265704507835816998698382427947008.000000	-613381683457032493329717166866432.000000
0.016400	3155580932106315339122022186041212928.000000	3455891648773648215003822236368896.000000
0.016500	3750428893656104336507726230359900160.000000	12189950871145333124942244473733120.000000
0.016600	2773534501190871310852883163117518848.000000	27622063694061374376306748011053056.000000
0.016700	-1825422726242391232242750373222154240.000000	50664050380330762605751761295638528.000000
0.016800	-13141026024745637935854145853708042240.000000	78526117855032577444412161643249664.000000
0.016900	-34976061421521474442991903091963461632.000000	100227803962874570560438470273138688.000000
0.017000	-70430212839421006600208571571959234560.000000	90003386811501366949233695899254784.000000
0.017100	-118526840441575928789710090790496108544.000000	-474106513437384246020802055503872.000000
0.017200	-167814251768599743587953074415364734976.000000	-247701340670952410520223529788506112.000000
0.017300	-186132410699067988966458410578556747776.000000	-752127703108214124847852640683425792.000000
0.017400	-106994310342801792574715726019247996928.000000	-1609983373173906400960237980180545536.000000
0.017500	183837929758928255867107480029838180352.000000	-2839127794621770290086939354642513920.000000
0.017600	851922024371350858849878683192970444800.000000	-4230586979262611017084188776619573248.000000
